Club,Posesion_Balon_Porcentaje,Disparos,Disparos_Recibidos,Faltas_Cometidas,Faltas_Recibidas,Efectividad_Goles_Encajados_Porcentaje,Asistencias_Gol,Asistencias_Totales,Regates_Satisfactorios,Regates,Regates_Satisfactorios_Porcentaje,Goles_Encajados_Dentro_Area,Goles_Encajados_Fuera_Area,Goles_Penalti_Encajados,Goles_Propia_Puerta,Goles_Cabeza,Efectividad_Goles_Porcentaje,Centros_Fallados,Centros_Buenos,Pases,Pases_Buenos_Porcentaje,Fueras_de_Juego,Tarjetas_Rojas,Tarjetas_Amarillas,Disparos_Puerta,Tiros_Puerta_Porcentaje,Saques_Esquina
America,55.9,20,17,23,26,11.76,3,20,10,28,35.71,2,0,0,0,1,20.0,22,10,897,86.06,1,1,4,11,55.0,12
Atlas,32.2,15,46,22,31,10.87,4,14,12,21,57.14,5,0,1,0,2,40.0,20,7,398,64.57,4,0,4,8,53.33,7
Atletico San Luis,48.0,14,23,26,21,4.35,1,15,11,21,52.38,1,0,0,0,0,7.14,36,10,773,78.91,2,0,5,5,35.71,11
FC Juarez,44.3,13,28,29,28,7.14,1,10,22,35,62.86,2,0,0,0,1,7.69,21,5,769,81.92,2,1,5,4,30.77,5
Guadalajara Chivas,65.3,12,6,16,9,16.67,0,13,15,25,60.0,1,0,1,0,0,0.0,9,6,601,86.36,3,0,0,3,25.0,4
Cruz Azul,71.0,30,17,23,16,17.65,2,33,23,31,74.19,2,1,0,0,1,10.0,63,19,992,85.58,3,0,4,9,30.0,23
Club Queretaro,33.4,7,38,22,32,10.53,1,3,2,15,13.33,4,0,1,1,0,14.29,14,1,558,78.49,3,0,1,4,57.14,5
Leon FC,40.4,13,30,21,25,3.33,0,11,8,25,32.0,1,0,0,0,0,7.69,19,8,683,75.7,5,0,4,6,46.15,9
Mazatlan Futbol Club,34.7,10,25,26,20,4.0,1,11,15,26,57.69,1,0,0,0,1,20.0,13,2,490,69.8,5,0,7,4,40.0,5
Necaxa,59.0,26,24,30,16,16.67,2,31,24,42,57.14,4,0,0,0,0,15.38,31,9,1072,87.78,1,0,4,10,38.46,8
Pachuca,39.1,20,20,19,25,10.0,4,18,6,16,37.5,2,0,0,0,1,30.0,14,6,645,80.31,8,0,4,9,45.0,4
Puebla,61.6,24,15,28,25,33.33,3,23,23,43,53.49,5,0,0,0,0,12.5,27,8,823,80.07,5,0,7,9,37.5,8
U.N.A.M. - Pumas,59.1,14,18,31,26,33.33,1,16,14,24,58.33,4,2,0,0,0,14.29,36,13,871,83.93,9,0,8,6,42.86,9
Monterrey,58.4,18,21,21,23,14.29,1,22,10,22,45.45,1,2,0,0,0,5.56,31,3,986,86.82,7,0,5,6,33.33,10
Santos Laguna,38.7,14,30,24,33,13.33,2,12,13,21,61.9,3,1,0,0,0,35.71,20,4,561,74.51,4,1,4,10,71.43,6
Tigres UANL,64.4,19,5,16,14,0.0,1,14,3,15,20.0,0,0,0,0,0,5.26,11,3,625,88.48,1,0,3,10,52.63,5
Toluca,60.4,34,22,31,20,13.64,7,36,16,35,45.71,3,0,0,0,1,20.59,17,10,1023,88.17,5,0,6,17,50.0,11
Club Tijuana,46.5,16,23,27,26,13.04,1,15,9,29,31.03,3,0,1,0,0,12.5,32,5,742,84.23,2,0,1,5,31.25,7
