Fecha,Hora,Torneo,Jornada,Equipo_Local,Goles_Local,Goles_Visitante,Equipo_Visitante,Marcador_Texto,Home_Team_ID,Away_Team_ID,Fecha_Formateada,Fecha_Partido
10.Ago.96,12:00,Inv96,1,Puebla,2.0,1.0,Toluca,2-1,19,15,10.Aug.96,1996-08-10
10.Ago.96,12:00,Inv96,1,Puebla,2.0,1.0,Toluca,2-1,15,19,10.Aug.96,1996-08-10
11.Ago.96,12:00,Inv96,1,Pachuca,2.0,2.0,Necaxa,2-2,10,9,11.Aug.96,1996-08-11
11.Ago.96,12:00,Inv96,1,Santos Laguna,1.0,0.0,America,1-0,1,13,11.Aug.96,1996-08-11
11.Ago.96,12:00,Inv96,1,Santos Laguna,1.0,0.0,America,1-0,13,1,11.Aug.96,1996-08-11
11.Ago.96,12:00,Inv96,1,Guadalajara Chivas,2.0,0.0,U.N.A.M. - Pumas,2-0,6,17,11.Aug.96,1996-08-11
11.Ago.96,12:00,Inv96,1,Pachuca,2.0,2.0,Necaxa,2-2,9,10,11.Aug.96,1996-08-11
11.Ago.96,12:00,Inv96,1,Guadalajara Chivas,2.0,0.0,U.N.A.M. - Pumas,2-0,17,6,11.Aug.96,1996-08-11
16.Ago.96,12:00,Inv96,2,Monterrey,0.0,1.0,Santos Laguna,0-1,7,13,16.Aug.96,1996-08-16
16.Ago.96,12:00,Inv96,2,Monterrey,0.0,1.0,Santos Laguna,0-1,13,7,16.Aug.96,1996-08-16
17.Ago.96,12:00,Inv96,2,Leon,0.0,0.0,Guadalajara Chivas,0-0,201,6,17.Aug.96,1996-08-17
17.Ago.96,12:00,Inv96,2,Leon,0.0,0.0,Guadalajara Chivas,0-0,6,201,17.Aug.96,1996-08-17
18.Ago.96,12:00,Inv96,2,U.N.A.M. - Pumas,1.0,2.0,Cruz Azul,1-2,17,5,18.Aug.96,1996-08-18
18.Ago.96,12:00,Inv96,2,U.N.A.M. - Pumas,1.0,2.0,Cruz Azul,1-2,5,17,18.Aug.96,1996-08-18
18.Ago.96,12:00,Inv96,2,Atlas,5.0,1.0,Pachuca,5-1,3,10,18.Aug.96,1996-08-18
18.Ago.96,12:00,Inv96,2,Atlas,5.0,1.0,Pachuca,5-1,10,3,18.Aug.96,1996-08-18
20.Ago.96,12:00,Inv96,4,Necaxa,3.0,0.0,Monterrey,3-0,9,7,20.Aug.96,1996-08-20
20.Ago.96,12:00,Inv96,4,Necaxa,3.0,0.0,Monterrey,3-0,7,9,20.Aug.96,1996-08-20
24.Ago.96,12:00,Inv96,3,Cruz Azul,2.0,2.0,Leon,2-2,5,201,24.Aug.96,1996-08-24
24.Ago.96,12:00,Inv96,3,Puebla,2.0,1.0,U.N.A.M. - Pumas,2-1,19,17,24.Aug.96,1996-08-24
24.Ago.96,12:00,Inv96,3,Cruz Azul,2.0,2.0,Leon,2-2,201,5,24.Aug.96,1996-08-24
24.Ago.96,12:00,Inv96,3,Puebla,2.0,1.0,U.N.A.M. - Pumas,2-1,17,19,24.Aug.96,1996-08-24
25.Ago.96,12:00,Inv96,3,Pachuca,3.0,0.0,Toluca,3-0,15,10,25.Aug.96,1996-08-25
25.Ago.96,12:00,Inv96,3,Guadalajara Chivas,5.0,0.0,America,5-0,6,1,25.Aug.96,1996-08-25
25.Ago.96,12:00,Inv96,3,Guadalajara Chivas,5.0,0.0,America,5-0,1,6,25.Aug.96,1996-08-25
25.Ago.96,12:00,Inv96,3,Pachuca,3.0,0.0,Toluca,3-0,10,15,25.Aug.96,1996-08-25
01.Sep.96,12:00,Inv96,4,Leon,1.0,1.0,Puebla,1-1,19,201,01.Sep.96,1996-09-01
01.Sep.96,12:00,Inv96,4,Leon,1.0,1.0,Puebla,1-1,201,19,01.Sep.96,1996-09-01
06.Sep.96,12:00,Inv96,5,Monterrey,0.0,0.0,Atlas,0-0,7,3,06.Sep.96,1996-09-06
06.Sep.96,12:00,Inv96,5,Monterrey,0.0,0.0,Atlas,0-0,3,7,06.Sep.96,1996-09-06
07.Sep.96,12:00,Inv96,5,Puebla,1.0,0.0,America,1-0,19,1,07.Sep.96,1996-09-07
07.Sep.96,12:00,Inv96,5,Puebla,1.0,0.0,America,1-0,1,19,07.Sep.96,1996-09-07
08.Sep.96,12:00,Inv96,5,Pachuca,0.0,0.0,U.N.A.M. - Pumas,0-0,10,17,08.Sep.96,1996-09-08
08.Sep.96,12:00,Inv96,5,Santos Laguna,1.0,1.0,Guadalajara Chivas,1-1,13,6,08.Sep.96,1996-09-08
08.Sep.96,12:00,Inv96,5,Santos Laguna,1.0,1.0,Guadalajara Chivas,1-1,6,13,08.Sep.96,1996-09-08
08.Sep.96,12:00,Inv96,5,Pachuca,0.0,0.0,U.N.A.M. - Pumas,0-0,17,10,08.Sep.96,1996-09-08
10.Sep.96,12:00,Inv96,4,America,2.0,1.0,Cruz Azul,2-1,5,1,10.Sep.96,1996-09-10
10.Sep.96,12:00,Inv96,4,America,2.0,1.0,Cruz Azul,2-1,1,5,10.Sep.96,1996-09-10
14.Sep.96,12:00,Inv96,6,Leon,2.0,2.0,Pachuca,2-2,201,10,14.Sep.96,1996-09-14
